longitude,latitude,altitude
-5.918385,54.60455,114
-5.918459,54.604424,114
-5.918471,54.60441,114
-5.918522,54.60431,114
-5.918534,54.604298,115
-5.918545,54.604282,115
-5.918557,54.604263,115
-5.918568,54.604248,115
-5.918585,54.60423,115
-5.918625,54.60419,115
-5.918625,54.604183,115
-5.918637,54.604168,115
-5.918665,54.604137,115
-5.918763,54.604023,115
-5.918763,54.60402,115
-5.91878,54.604,115
-5.918786,54.60399,115
-5.918803,54.603973,115
-5.918814,54.603962,115
-5.918814,54.603962,115
-5.918826,54.60395,115
-5.918832,54.603943,115
-5.918923,54.60384,115
-5.918969,54.603783,114
-5.919015,54.603714,114
-5.919032,54.6037,114
-5.919038,54.6037,114
-5.919072,54.603657,115
-5.919089,54.603645,115
-5.919089,54.60364,115
-5.91913,54.603596,115
-5.919141,54.603577,115
-5.919204,54.6035,115
-5.919216,54.60348,114
-5.919227,54.60347,115
-5.91929,54.603367,115
-5.919301,54.60334,115
-5.919399,54.60312,115
-5.91941,54.603077,115
-5.919588,54.602608,115
-5.919611,54.60255,115
