SAC:SIC:ALT_GEO_FT:POS_LAT_DEG:POS_LONG_DEG:ALT_BARO_FT:TOD:REC_TIME_POSIX:REC_TIME_MS:EMITTER_CATEGORY:DIFFERENTIAL_CORRECTION:GROUND_BIT:SIMULATED_TARGET:TEST_TARGET:FROM_FFT:SELECTED_ALT_CAPABILITY:SPI:LINK_TECHNOLOGY_CDTI:LINK_TECHNOLOGY_MDS:LINK_TECHNOLOGY_UAT:LINK_TECHNOLOGY_VDL:LINK_TECHNOLOGY_OTHER:DESCRIPTOR_ATP:alt_reporting_capability_ft:TARGET_ADDR:CAT:LINE_ID:DS_ID:report_type:TOD_CALCULATED:CALLSIGN:GROUNDSPEED_KT:TRACK_ANGLE_DEG:REC_NUM
8:200:191:48,66246870038991:2,380278678077503:191:3946880:1665650035:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:1,38865:306,33:1
8:200:191:48,662336920096884:2,3805594273974378:191:3947648:1665650041:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:4,48727:321,46000000000004:2
8:200:192:48,66319635679055:2,37951091463115:192:3953024:1665650083:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:5,18155:88,84:3
8:200:205:48,66142591720158:2,380502131617859:205:3960704:1665650143:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:5,3183:169,14:4
8:200:207:48,6618040693468:2,380146897784472:207:3961216:1665650147:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:5,32205:188,77:5
8:200:210:48,66246870038991:2,380146897784472:210:3963520:1665650165:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0615695:234,55:6
8:200:174:48,6622796243173:2,3793848639160777:174:4021248:1665650616:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:4,80688:218,8:7
8:200:216:48,59019580402952:2,324919495848706:216:4057088:1665650896:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:6,14261:246,7:8
8:200:217:48,59126150552969:2,3282426510642615:217:4060672:1665650924:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,03343:195,9:9
8:200:217:48,59243606901104:2,327721259470097:217:4062720:1665650940:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,05759:139,7:10
8:200:217:48,59269390001914:2,3273889439485416:217:4063232:1665650944:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,17438:139,87:11
8:200:179:48,66239994545442:2,380083872426936:179:4063488:1665650946:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0162:251,82:12
8:200:408:48,66239994545442:2,380083872426936:408:4065024:1665650958:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0381838:235,16:13
8:200:218:48,59409191704086:2,326718583327472:218:4065536:1665650962:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,38479:210,11:14
8:200:473:48,66239994545442:2,380083872426936:473:4065792:1665650964:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0:235,14:15
8:200:218:48,59463622694686:2,326982143913533:218:4066304:1665650968:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,5491:161,63:16
8:200:217:48,59512897065124:2,3260138452386556:217:4067840:1665650980:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,54879:80,69:17
8:200:677:48,66239994545442:2,380083872426936:677:4068608:1665650986:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0054:322,08000000000004:18
8:200:654:48,66239994545442:2,380083872426936:654:4069376:1665650992:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0411252:284,45:19
8:200:654:48,66239994545442:2,380083872426936:654:4070144:1665650998:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0461376:245,32999999999998:20
8:200:654:48,66239994545442:2,380083872426936:654:4070656:1665651002:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0054:228,38:21
8:200:655:48,66239994545442:2,380083872426936:655:4071680:1665651010:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0328469:329,24:22
8:200:656:48,66239994545442:2,380083872426936:656:4071936:1665651012:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,00763675:343,16999999999996:23
8:200:655:48,66239994545442:2,380083872426936:655:4072448:1665651016:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0162:25,930000000000007:24
8:200:656:48,66238275672055:2,3800437653812314:656:4073216:1665651022:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:1,7615:53,56999999999999:25
8:200:658:48,66212492571243:2,3795452920988978:658:4074240:1665651030:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:4,21253:53,64:26
8:200:658:48,662067629932864:2,3794650780074873:658:4074496:1665651032:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:4,72346:53,72:27
8:200:655:48,661826987658635:2,3790811962843113:655:4075008:1665651036:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:5,3841:52,84:28
8:200:657:48,66201606373124:2,379092655440227:657:4075776:1665651042:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,938793:195,52:29
