SAC:SIC:ALT_GEO_FT:POS_LAT_DEG:POS_LONG_DEG:ALT_BARO_FT:TOD:REC_TIME_POSIX:REC_TIME_MS:EMITTER_CATEGORY:DIFFERENTIAL_CORRECTION:GROUND_BIT:SIMULATED_TARGET:TEST_TARGET:FROM_FFT:SELECTED_ALT_CAPABILITY:SPI:LINK_TECHNOLOGY_CDTI:LINK_TECHNOLOGY_MDS:LINK_TECHNOLOGY_UAT:LINK_TECHNOLOGY_VDL:LINK_TECHNOLOGY_OTHER:DESCRIPTOR_ATP:ALT_REPORTING_CAPABILITY_FT:TARGET_ADDR:CAT:LINE_ID:DS_ID:REPORT_TYPE:TOD_CALCULATED:CALLSIGN:GROUNDSPEED_KT:TRACK_ANGLE_DEG:REC_NUM
8:200:140:48,592653792973444:2,328236921486304:140:3651072:1661846124:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0,0120748:162,32:1
8:200:186:48,592653792973444:2,328236921486304:186:3652096:1661846132:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0,0162:165,51:2
8:200:183:48,592653792973444:2,328236921486304:183:3652864:1661846138:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0,01947:166,08:3
8:200:168:48,592653792973444:2,328236921486304:168:3653376:1661846142:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0,0108:166,23:4
8:200:165:48,592653792973444:2,328236921486304:165:3654400:1661846150:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0,0120748:166,07:5
8:200:165:48,592653792973444:2,328236921486304:165:3656192:1661846164:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0,0216:166,06:6
8:200:165:48,592653792973444:2,328236921486304:165:3656960:1661846170:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0,0120748:166,05:7
8:200:165:48,592653792973444:2,328236921486304:165:3659520:1661846190:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0,01947:174,59:8
8:200:164:48,592613685927745:2,32824838064222:164:3660032:1661846194:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:1,1641:174,75:9
8:200:165:48,5925105535245:2,3282598397981356:165:3660544:1661846198:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:1,83925:174,71:10
