SAC:SIC:ALT_GEO_FT:POS_LAT_DEG:POS_LONG_DEG:ALT_BARO_FT:TOD:REC_TIME_POSIX:REC_TIME_MS:EMITTER_CATEGORY:DIFFERENTIAL_CORRECTION:GROUND_BIT:SIMULATED_TARGET:TEST_TARGET:FROM_FFT:SELECTED_ALT_CAPABILITY:SPI:LINK_TECHNOLOGY_CDTI:LINK_TECHNOLOGY_MDS:LINK_TECHNOLOGY_UAT:LINK_TECHNOLOGY_VDL:LINK_TECHNOLOGY_OTHER:DESCRIPTOR_ATP:alt_reporting_capability_ft:TARGET_ADDR:CAT:LINE_ID:DS_ID:report_type:TOD_CALCULATED:CALLSIGN:GROUNDSPEED_KT:TRACK_ANGLE_DEG:REC_NUM
8:200:168:48,6071381660509:2,427759690614249:168:4114176:1665564942:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:5FSCK3D0:0,0275347:333,8:1
8:200:404:48,6071381660509:2,427765420192207:404:4117248:1665564966:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:5FSCK3D0:0,0241495:331,36:2
8:200:210:48,6071381660509:2,427771149770165:210:4132352:1665565084:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:5FSCK3D0:0,0435362:343,7:3
8:200:162:48,6071381660509:2,427771149770165:162:4133120:1665565090:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:5FSCK3D0:0,03894:342,3:4
8:200:288:48,607350160435345:2,4275763441195983:288:4203904:1665565643:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:5FSCK3D0:0,0120748:335,06:5
8:200:327:48,607350160435345:2,4275763441195983:327:4204416:1665565647:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:5FSCK3D0:0,0054:335,03999999999996:6
8:200:118:48,586517414980584:2,3187086333423905:118:6090112:1665580379:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0,568413:232,37:7
8:200:165:48,589966620911206:2,3237793098350927:165:6100096:1665580457:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,84913:221,94:8
8:200:164:48,591513606959836:2,3258648762117518:164:6103168:1665580481:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,14632:215,91:9
8:200:164:48,591782897123856:2,326174273421476:164:6103680:1665580485:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,96932:211,65:10
8:200:164:48,592034998554:2,326443563585495:164:6104192:1665580489:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,39421:215:11
8:200:165:48,59221834504864:2,3266269100801464:165:6104704:1665580493:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,41041:206,54:12
8:200:165:48,593324153594516:2,3271024650506487:165:6106496:1665580507:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,97375:175,99:13
8:200:165:48,593169454989656:2,326466481897327:165:6113664:1665580563:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:6,04617:3,740000000000009:14
8:200:165:48,590843246338764:2,3248793888030006:165:6117248:1665580591:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,34306:44,5:15
8:200:164:48,59058541533066:2,32450696623574:164:6117760:1665580595:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,44995:44,47:16
8:200:165:48,58973170821494:2,3232693773968434:165:6119552:1665580609:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,4991:44,31999999999999:17
8:200:165:48,59226991125027:2,326649828391978:165:6134528:1665580726:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0:204,06:18
8:200:165:48,59485968048721:2,3275149946636144:165:6137088:1665580746:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0:159,24:19
8:200:168:48,5955415002642:2,3266956650156407:168:6138112:1665580754:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,33456:114,7:20
8:200:164:48,5929460014493:2,326340431182254:164:6142720:1665580790:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,71263:358,15:21
8:200:164:48,591811545013634:2,325956549459078:164:6144512:1665580804:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,50368:32,50999999999999:22
8:200:164:48,59149641822596:2,325675800139143:164:6145024:1665580808:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,49806:38,96000000000001:23
8:200:165:48,58703307699679:2,3212468363777203:165:6154496:1665580882:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,42425:225,63:24
8:200:166:48,59286005777992:2,3269248481339555:166:6164224:1665580958:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,59913:190,04:25
8:200:165:48,595237832632435:2,3257330959187215:165:6168576:1665580992:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,2917:14,300000000000011:26
8:200:164:48,593375719796136:2,326701394593599:164:6171392:1665581014:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,42713:328,49:27
8:200:165:48,59004683500261:2,3238652535044606:165:6188544:1665581148:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,75836:223,3:28
8:200:164:48,59099221536567:2,32522889305843:164:6190080:1665581160:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:6,05828:222,77:29
8:200:163:48,591737060500186:2,326254487512886:163:6191616:1665581172:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:6,05171:217,17000000000002:30
8:200:163:48,59307205216436:2,3270738171608594:163:6193408:1665581186:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:6,22854:184,73:31
8:200:166:48,594934165000666:2,3254867240665336:166:6202624:1665581258:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0:344,02:32
8:200:166:48,59493989457863:2,3254867240665336:166:6204672:1665581274:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0:344,03:33
8:200:166:48,594934165000666:2,3254867240665336:166:6212352:1665581334:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0,0054:344,09000000000003:34
8:200:165:48,594934165000666:2,3254867240665336:165:6217984:1665581378:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:0,0054:343,91999999999996:35
8:200:166:48,59491124668884:2,3254981832224493:166:6223104:1665581418:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:1,35152:343,34000000000003:36
8:200:164:48,59434401847101:2,3257445550746367:164:6224128:1665581426:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,20043:343,5:37
8:200:165:48,592361584497596:2,326443563585495:165:6226944:1665581448:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:6,69968:29,689999999999998:38
8:200:165:48,591742790078136:2,326019574816614:165:6227712:1665581454:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:6,66142:39,53999999999999:39
8:200:165:48,59136463793292:2,3256414226713953:165:6228224:1665581458:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:6,81726:41,75:40
8:200:15:48,58664346569566:2,318645607984854:15:6255232:1665581669:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:2,23835:224,45:41
8:200:165:48,58751436154525:2,3202327010791803:165:6260096:1665581707:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,40134:223,2:42
